CustomerID,Recency,Frequency,Monetary,KMeans_Cluster,Segment
12347,2,7,3314.73,3,Loyal Customers
12348,249,3,90.2,2,At-Risk Spenders
12349,19,1,999.15,1,Potential Loyalists
12350,310,1,294.4,2,At-Risk Spenders
12352,36,7,1130.94,3,Loyal Customers
12353,204,1,29.300000000000004,2,At-Risk Spenders
12354,232,1,682.69,2,At-Risk Spenders
12355,214,1,219.0,2,At-Risk Spenders
12356,246,2,1086.56,2,At-Risk Spenders
12357,33,1,3315.41,1,Potential Loyalists
12358,2,2,878.22,1,Potential Loyalists
12359,58,4,3161.58,3,Loyal Customers
12360,52,3,1843.16,3,Loyal Customers
12361,287,1,174.9,2,At-Risk Spenders
12362,3,10,4098.94,0,Champions
12363,110,2,484.5,1,Potential Loyalists
12364,8,3,1106.28,3,Loyal Customers
12365,291,1,307.94,2,At-Risk Spenders
12367,4,1,138.3,4,Lost Customers
12370,51,4,2598.66,3,Loyal Customers
12371,60,1,1300.46,1,Potential Loyalists
12372,72,3,938.34,1,Potential Loyalists
12373,311,1,299.1,2,At-Risk Spenders
12374,25,1,531.73,1,Potential Loyalists
12375,11,2,283.3,1,Potential Loyalists
12377,315,2,1472.52,2,At-Risk Spenders
12378,130,1,3396.64,1,Potential Loyalists
12379,82,2,736.44,1,Potential Loyalists
12380,22,4,1738.25,3,Loyal Customers
12381,5,5,1253.46,3,Loyal Customers
12383,185,5,1211.84,3,Loyal Customers
12384,29,2,286.32,1,Potential Loyalists
12386,367,1,215.7,2,At-Risk Spenders
12388,16,6,2466.7000000000003,3,Loyal Customers
12390,80,1,407.74,1,Potential Loyalists
12391,22,1,406.88,1,Potential Loyalists
12393,72,4,1193.5,3,Loyal Customers
12394,217,1,331.18,2,At-Risk Spenders
12395,19,12,1844.57,0,Champions
12397,36,2,1720.01,1,Potential Loyalists
12398,46,1,1349.44,1,Potential Loyalists
12399,119,4,729.15,1,Potential Loyalists
12401,303,1,32.85,2,At-Risk Spenders
12402,323,1,195.6,2,At-Risk Spenders
12403,50,1,92.9,4,Lost Customers
12405,149,1,1104.8700000000001,1,Potential Loyalists
12406,22,2,2871.78,3,Loyal Customers
12407,50,5,1085.01,3,Loyal Customers
12408,33,5,1869.47,3,Loyal Customers
12409,79,3,1646.79,3,Loyal Customers
12410,309,1,274.23,2,At-Risk Spenders
12412,75,3,1115.04,1,Potential Loyalists
12413,67,3,545.2,1,Potential Loyalists
12414,217,3,343.65,2,At-Risk Spenders
12415,25,11,3756.06,0,Champions
12417,3,9,2151.75,3,Loyal Customers
12418,113,1,418.16,1,Potential Loyalists
12420,64,1,380.3,1,Potential Loyalists
12421,16,4,607.57,1,Potential Loyalists
12422,96,3,645.3100000000001,1,Potential Loyalists
12423,1,8,1535.61,3,Loyal Customers
12424,163,2,703.72,1,Potential Loyalists
12425,78,1,538.14,1,Potential Loyalists
12426,195,1,446.08,2,At-Risk Spenders
12427,22,3,425.62,1,Potential Loyalists
12428,26,8,4830.43,0,Champions
12429,9,4,2313.04,3,Loyal Customers
12430,43,1,168.6,4,Lost Customers
12431,60,13,3866.05,0,Champions
12432,43,4,1909.68,3,Loyal Customers
12433,1,7,7947.37,0,Champions
12434,85,2,624.84,1,Potential Loyalists
12435,268,1,78.0,2,At-Risk Spenders
12436,100,1,429.01000000000005,1,Potential Loyalists
12437,2,18,2760.54,0,Champions
12438,14,2,1753.1200000000001,1,Potential Loyalists
12441,367,1,155.55,2,At-Risk Spenders
12442,3,1,144.06,4,Lost Customers
12444,21,5,2382.56,3,Loyal Customers
12445,22,1,77.4,4,Lost Customers
12446,58,1,734.36,1,Potential Loyalists
12447,243,1,379.78999999999996,2,At-Risk Spenders
12448,44,1,283.95,4,Lost Customers
12449,22,4,2733.84,3,Loyal Customers
12450,156,2,131.88,4,Lost Customers
12451,11,5,5878.31,3,Loyal Customers
12452,17,1,287.67,4,Lost Customers
12453,134,1,707.09,1,Potential Loyalists
12454,56,1,66.4,4,Lost Customers
12455,73,5,1201.8600000000001,3,Loyal Customers
12456,44,3,1663.24,3,Loyal Customers
12457,86,2,958.93,1,Potential Loyalists
12458,71,2,612.38,1,Potential Loyalists
12461,155,1,419.08,1,Potential Loyalists
12462,19,2,657.8,1,Potential Loyalists
12463,53,4,1155.38,3,Loyal Customers
12464,150,4,76.5,4,Lost Customers
12465,17,2,621.49,1,Potential Loyalists
12468,188,2,575.99,2,At-Risk Spenders
12471,2,26,8703.38,0,Champions
12472,32,7,5052.03,3,Loyal Customers
12473,54,3,2218.95,3,Loyal Customers
12474,17,18,6115.2,0,Champions
12475,54,1,561.9399999999999,1,Potential Loyalists
12476,16,10,3530.83,0,Champions
12477,23,6,7057.34,3,Loyal Customers
12478,4,1,479.59000000000003,1,Potential Loyalists
12479,11,1,426.35,1,Potential Loyalists
12480,28,4,2266.94,3,Loyal Customers
12481,23,10,3445.7,0,Champions
12483,17,7,1486.54,3,Loyal Customers
12484,35,4,3322.58,3,Loyal Customers
12488,10,3,952.1600000000001,1,Potential Loyalists
12489,336,1,191.43,2,At-Risk Spenders
12490,5,10,4227.11,0,Champions
12491,39,1,350.75,4,Lost Customers
12492,63,2,227.21,4,Lost Customers
12493,166,2,332.91,1,Potential Loyalists
12494,16,7,951.75,3,Loyal Customers
12497,82,1,20.4,4,Lost Customers
12498,21,3,349.70000000000005,1,Potential Loyalists
12500,50,7,497.89,3,Loyal Customers
12501,337,1,1866.66,2,At-Risk Spenders
12502,96,5,1511.32,3,Loyal Customers
12504,30,1,60.0,4,Lost Customers
12506,233,1,57.6,2,At-Risk Spenders
12507,156,2,388.75,1,Potential Loyalists
12508,26,2,397.88,1,Potential Loyalists
12509,284,1,124.5,2,At-Risk Spenders
12510,143,2,620.05,1,Potential Loyalists
12512,66,2,124.23,4,Lost Customers
12513,113,1,520.04,1,Potential Loyalists
12514,267,1,779.68,2,At-Risk Spenders
12515,353,1,190.8,2,At-Risk Spenders
12516,78,2,270.48,1,Potential Loyalists
12517,28,4,2176.85,3,Loyal Customers
12518,1,5,1750.09,3,Loyal Customers
12519,64,1,242.84,4,Lost Customers
12520,79,5,2061.56,3,Loyal Customers
12521,143,1,499.03,1,Potential Loyalists
12522,39,2,152.72,4,Lost Customers
12523,19,11,1277.91,3,Loyal Customers
12524,9,8,1719.21,3,Loyal Customers
12526,1,3,1074.46,3,Loyal Customers
12527,82,3,296.71000000000004,1,Potential Loyalists
12528,9,6,1121.63,3,Loyal Customers
12530,60,4,1051.42,3,Loyal Customers
12531,15,1,95.27,4,Lost Customers
12532,30,1,297.33000000000004,4,Lost Customers
